iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
184,208850,698.0752688172042,72,553,4,17,4,5,9,6,6,6,12,3,36,169,36,35,38,30,63,55,69,22
185,147739,686.1322580645161,72,553,3,23,4,8,9,4,4,9,6,2,37,163,36,32,38,32,65,52,75,23
186,295156,702.6193548387097,71,554,6,17,3,2,4,9,8,7,12,3,34,169,37,38,43,27,61,54,69,22
187,502006,693.8720430107526,67,558,7,20,6,5,2,4,7,7,7,2,33,166,34,35,45,32,62,54,74,23
188,166976,688.5827956989247,72,553,6,22,2,3,6,3,11,11,6,2,34,164,38,37,41,33,58,50,75,23
189,491553,691.6860215053764,75,550,5,24,3,6,7,2,11,6,11,0,35,162,37,34,40,34,58,55,70,25
190,898387,700.6827956989248,75,550,4,24,6,2,3,5,7,10,10,4,36,162,34,38,44,31,62,51,71,21
191,217576,698.6344086021505,70,555,5,23,6,6,5,4,4,7,8,2,35,163,34,34,42,32,65,54,73,23
192,600506,690.7150537634409,65,560,5,17,1,5,7,4,12,5,6,3,35,169,39,35,40,32,57,56,75,22
193,991234,693.2569892473118,74,551,5,14,4,10,7,3,8,12,10,1,35,172,36,30,40,33,61,49,71,24
194,302386,693.3150537634408,65,560,2,20,2,4,7,6,4,7,10,3,38,166,38,36,40,30,65,54,71,22
195,471951,695.8935483870966,72,553,4,26,0,4,6,6,7,7,7,5,36,160,40,36,41,30,62,54,74,20
196,733071,691.9763440860215,69,556,4,22,4,7,3,0,11,4,10,4,36,164,36,33,44,36,58,57,71,21
197,874418,702.7494623655914,70,555,3,17,4,7,3,5,7,9,12,3,37,169,36,33,44,31,62,52,69,22
198,720464,692.0333333333333,73,552,7,20,8,1,3,10,10,5,4,5,33,166,32,39,44,26,59,56,77,20
199,407391,687.9666666666667,72,553,3,19,7,10,2,6,13,2,4,6,37,167,33,30,45,30,56,59,77,19
200,619202,696.5989247311827,70,555,3,27,7,1,6,3,7,7,8,1,37,159,33,39,41,33,62,54,73,24
201,840665,698.3612903225807,67,558,5,19,2,3,7,2,6,8,8,7,35,167,38,37,40,34,63,53,73,18
202,379740,680.9161290322581,69,556,5,21,8,3,4,5,10,6,6,1,35,165,32,37,43,31,59,55,75,24
203,937798,696.1010752688172,69,556,7,16,5,10,4,3,10,3,8,3,33,170,35,30,43,33,59,58,73,22
204,671494,686.6075268817204,77,548,2,19,9,4,8,6,10,9,9,1,38,167,31,36,39,30,59,52,72,24
205,373944,691.7774193548387,65,560,5,26,7,3,2,4,7,3,7,1,35,160,33,37,45,32,62,58,74,24
206,679302,695.6892473118279,72,553,2,29,4,6,5,3,7,6,8,2,38,157,36,34,42,33,62,55,73,23
207,592515,691.7290322580645,73,552,7,25,6,2,6,3,12,5,2,5,33,161,34,38,41,33,57,56,79,20
